Medicine Name,Category,Dosage Form,Strength,Batch Number,Count,Reorder Level,Cost Price ($),Selling Price ($),Profit Margin (%),Discount (%),Expiry Date,Manufacture Date,Storage Temperature,Supplier Name,Warehouse Location,Regulatory Approval Number,Prescription Required,Days to Expiry,Units Sold,Usage Instructions,Target Ailment
Azithromycin,Antipyretic,Injection,5ml,BATCH-7775084,294,18,51.16,475.57,17.69,2,3/22/2025,2/18/2023,Room Temperature,Supplier Z,Warehouse A,FDA-67741341,TRUE,370,72,Use as directed,Diabetes
Clarithromycin,Antibiotic,Capsule,500mg,BATCH-1705880,86,47,20.93,262.99,40.25,23,7/22/2025,1/21/2023,Room Temperature,Supplier W,Warehouse A,FDA-02108768,FALSE,603,7,Take after meals,Pain
Amoxicillin,Antidiabetic,Tablet,10mg/ml,BATCH-3473940,196,49,92.88,301.35,49.3,28,6/11/2026,2/26/2023,Room Temperature,Supplier X,Warehouse B,FDA-02940100,FALSE,356,22,Use as directed,Diabetes
Metformin,Antibiotic,Injection,500mg,BATCH-1878856,429,30,217.8,570.85,22.57,8,3/7/2025,8/28/2023,Room Temperature,Supplier X,Warehouse B,FDA-84823838,TRUE,712,40,Take after meals,Pain
Metformin,Analgesic,Tablet,250mg,BATCH-6601317,209,28,85.08,386.84,14.64,29,9/4/2025,1/25/2024,Below 25°C,Supplier Y,Warehouse C,FDA-80072682,TRUE,214,28,Take before meals,Allergy
Paracetamol,Antibiotic,Tablet,250mg,BATCH-1150176,59,16,107.12,486.08,39.58,2,7/28/2026,11/25/2024,2–8°C,Supplier X,Warehouse B,FDA-79143813,TRUE,480,78,Take after meals,Pain
Losartan,Antipyretic,Capsule,100mg,BATCH-0470220,346,26,119.12,479.03,34.94,3,12/30/2026,2/5/2024,2–8°C,Supplier Y,Warehouse B,FDA-13268750,FALSE,417,98,Use as directed,Fever
Aspirin,Antibiotic,Capsule,100mg,BATCH-8932844,254,49,240.36,449.34,47.38,30,9/2/2025,11/24/2023,Below 25°C,Supplier Y,Warehouse C,FDA-22790624,FALSE,393,36,Take after meals,Infection
Losartan,Antacid,Tablet,500mg,BATCH-5554930,381,12,16.19,311.21,42.25,27,8/16/2026,1/20/2023,Below 25°C,Supplier Z,Warehouse C,FDA-98256349,TRUE,208,12,Take before meals,Fever
Paracetamol,Antacid,Tablet,10mg/ml,BATCH-9787434,435,19,138.32,114.44,32.14,7,12/11/2026,11/24/2023,Room Temperature,Supplier W,Warehouse A,FDA-48967707,FALSE,2,85,Take after meals,Infection
